ID,Vietnamese_Text,English_Text,Vietnamese_Sound
word_tôi,tôi,I / me,
word_không,không,no / not,
word_là,là,to be,
word_anh,anh,older brother / you (to a man),
word_có,có,to have / yes,
word_ta,ta,we / I,
word_của,của,of / belonging to,
word_đi,đi,to go,
word_đã,đã,already (past marker),
word_đó,đó,that,
word_sẽ,sẽ,will,
word_chúng,chúng,we (plural marker),
word_gì,gì,what,
word_một,một,one,
word_được,được,can / okay / to get,
word_và,và,and,
word_cô,cô,miss / aunt / teacher,
word_làm,làm,to do / make,
word_phải,phải,must / right,
word_rồi,rồi,already,
word_người,người,person,
word_này,này,this,
word_cho,cho,to give / for,
word_em,em,younger sibling / you (younger),
word_đây,đây,here,
word_con,con,child / animal classifier,
word_sao,sao,why / how,
word_biết,biết,to know,
word_ông,ông,grandfather / sir,
word_nói,nói,to say,
word_nó,nó,it / he / she (informal),
word_thể,thể,able / body,
word_với,với,with,
word_cậu,cậu,uncle (mother's brother) / you (casual),
word_thế,thế,so / like that,
word_lại,lại,again / back,
word_ra,ra,to go out / exit,
word_vậy,vậy,so / then,
word_để,để,to / let / put,
word_nào,nào,which,
word_ấy,ấy,that / him / her (informal),
word_cái,cái,(thing classifier),
word_đang,đang,"(progressive marker, -ing)",
word_muốn,muốn,to want,
word_trong,trong,in / inside,
word_mà,mà,but / that,
word_như,như,like / as,
word_nhưng,nhưng,but,
word_khi,khi,when,
word_những,những,(plural marker),
word_đến,đến,to arrive / come,
word_đâu,đâu,where,
word_chuyện,chuyện,story / matter,
word_chỉ,chỉ,only / to point,
word_cả,cả,all / whole,
word_về,về,to return / about,
word_thì,thì,then (particle),
word_họ,họ,they,
word_giờ,giờ,hour / time,
word_thôi,thôi,just / stop,
word_thấy,thấy,to see / feel,
word_còn,còn,still / remaining,
word_cũng,cũng,also / too,
word_vào,vào,to enter / into,
word_các,các,(plural marker),
word_bị,bị,(passive marker) to suffer,
word_nghĩ,nghĩ,to think,
word_đấy,đấy,there / that (emphasis particle),
word_ai,ai,who,
word_thật,thật,real / truly,
word_hắn,hắn,he / him (informal),
word_nếu,nếu,if,
word_mình,mình,I / myself / we,
word_việc,việc,work / matter,
word_nữa,nữa,more / again,
word_rất,rất,very,
word_vì,vì,because,
word_cần,cần,to need,
word_chứ,chứ,of course (particle),
word_à,à,oh (particle),
word_điều,điều,thing / matter,
word_sự,sự,matter / affair,
word_tới,tới,to arrive / to,
word_xin,xin,please / to ask,
word_thứ,thứ,kind / ordinal marker,
word_chưa,chưa,not yet,
word_nhà,nhà,house,
word_lên,lên,to go up / rise,
word_đúng,đúng,correct / right,
word_từ,từ,from / word,
word_mẹ,mẹ,mother,
word_nghe,nghe,to hear / listen,
word_hơn,hơn,more (comparative),
word_mọi,mọi,every,
word_bạn,bạn,you / friend,
word_tớ,tớ,"I / me (casual, among friends)",
word_nên,nên,should / therefore,
word_chết,chết,to die,
word_mày,mày,you (very informal/rude),
word_ơn,ơn,favor / gratitude,
word_đầu,đầu,head / beginning,
word_đừng,đừng,don't,
word_tìm,tìm,to find / search,
word_tốt,tốt,good,
word_tin,tin,news / to believe,
word_hãy,hãy,"(imperative marker, 'please/let's')",
word_quá,quá,too / very,
word_nhiều,nhiều,many / much,
word_trước,trước,before / in front,
word_cảm,cảm,to feel,
word_bà,bà,grandmother / madam,
word_ý,ý,idea / meaning,
word_hay,hay,or / interesting,
word_công,công,work / public,
word_nhất,nhất,most (superlative),
word_tao,tao,I / me (very informal/rude),
word_bố,bố,father,
word_tất,tất,all (as in tất cả),
word_bao,bao,how much / to wrap,
word_trên,trên,on / above,
word_tên,tên,name,
word_lỗi,lỗi,mistake / fault,
word_tại,tại,because of / at,
word_thành,thành,to become,
word_sau,sau,after,
word_cháu,cháu,grandchild / I (child to elder),
word_ngày,ngày,day,
word_khác,khác,different / other,
word_xem,xem,to watch / look at,
word_theo,theo,to follow,
word_chắc,chắc,probably / surely,
word_gặp,gặp,to meet,
word_bắt,bắt,to catch / force,
word_yêu,yêu,to love,
word_cứ,cứ,just / keep on,
word_qua,qua,to pass / across,
word_vẫn,vẫn,still,
word_cùng,cùng,together,
word_ngay,ngay,immediately,
word_thích,thích,to like,
word_cách,cách,way / method,
word_nhìn,nhìn,to look,
word_sống,sống,to live / alive,
word_bọn,bọn,group / gang (informal plural),
word_lúc,lúc,moment,
word_giết,giết,to kill,
word_mới,mới,new / just,
word_quan,quan,(in quan tâm = to care),
word_chào,chào,to greet,
word_đưa,đưa,to give / hand,
word_lắm,lắm,very,
word_gọi,gọi,to call,
word_hết,hết,all / finished,
word_bảo,bảo,to tell / say,
word_hai,hai,two,
word_rằng,rằng,that (conjunction),
word_ăn,ăn,to eat,
word_giúp,giúp,to help,
word_hiểu,hiểu,to understand,
word_lấy,lấy,to take,
word_ngài,ngài,sir / your excellency,
word_tự,tự,self,
word_lần,lần,time (occurrence),
word_chính,chính,main / exactly,
word_tay,tay,hand,
word_nhân,nhân,person / cause,
word_cuộc,cuộc,(event classifier),
word_bỏ,bỏ,to leave / remove,
word_năm,năm,year / five,
word_mất,mất,to lose,
word_hả,hả,huh? (particle),
word_vụ,vụ,case / incident / affair,
word_xe,xe,vehicle,
word_ngươi,ngươi,"you (archaic, to an inferior)",
word_nhận,nhận,to receive,
word_cha,cha,father,
word_chúa,chúa,god / lord,
word_khỏi,khỏi,to recover / out of,
word_nay,nay,(in hôm nay = today),
word_định,định,to plan / intend,
word_tiền,tiền,money,
word_thời,thời,time / era,
word_cơ,cơ,(particle) / mechanism,
word_nhé,nhé,okay? (softener),
word_do,do,due to / by,
word_trở,trở,to turn / become,
word_bé,bé,small / little one,
word_mặt,mặt,face,
word_đường,đường,road / sugar,
word_vâng,vâng,yes (formal),
word_gái,gái,girl / female,
word_luôn,luôn,always / right away,
word_mấy,mấy,how many,
word_gia,gia,family (as in gia đình),
word_nhau,nhau,each other,
word_lời,lời,words / speech,
word_nơi,nơi,place,
word_chị,chị,older sister / you (to a woman),
word_xuống,xuống,to go down,
word_bây,bây,(in bây giờ = now),
word_thưa,thưa,"(polite address, 'excuse me')",
word_số,số,number,
word_động,động,to move (as in activity),
word_đồ,đồ,things / stuff,
word_ngoài,ngoài,outside,
word_toàn,toàn,whole / entirely,
word_bất,bất,"(negative prefix, 'un-/im-')",
word_sát,sát,close to / beside,
word_thực,thực,"real / to eat (as in reality, cuisine)",
word_từng,từng,each / used to,
word_phòng,phòng,room,
word_thằng,thằng,guy / fellow (informal),
word_kẻ,kẻ,one who (often negative),
word_hàng,hàng,goods / row,
word_bằng,bằng,by / equal to,
word_chẳng,chẳng,not at all,
word_chút,chút,a bit,
word_nhớ,nhớ,to remember / miss,
word_chú,chú,uncle,
word_nhiên,nhiên,natural (as in tự nhiên),
