ID,Vietnamese_Text,English_Text,Vietnamese_Sound
lesson_l13_1,"Có, một chút.","Yes, a little.",
lesson_l3_2,Đi thẳng nhé. Em có hiểu không?,Just go straight. Do you understand?,
lesson_l12_4,Mình đang sống ở Sài Gòn.,I am living in Saigon.,
lesson_l25_0,Xin chào. Bạn uống gì ạ?,Hello. What would you like to drink?,
lesson_l21_3,Mã của tôi là tám chín không.,My code is eight nine zero.,
lesson_l11_4,Ở đằng kia.,Over there.,
lesson_l22_3,Tôi không có. Cho tôi xin tiền thừa nhé.,I don't have any. Please give me the change back.,
lesson_l8_3,Cho tôi thêm một cái bánh ngọt.,Give me one pastry too.,
lesson_l27_1,Cho tôi bún thịt nướng. Món này có lạc không?,I will have grilled pork noodles. Does this dish have peanuts?,
lesson_l20_0,"Chào cháu. Cam hôm nay rất tươi, cháu mua gì?","Hello. The oranges are very fresh today, what are you buying?",
lesson_l23_2,Xin lỗi bạn. Bạn muốn đổi cái mới không?,Sorry. Do you want to exchange for a new one?,
lesson_l17_0,Chiều nay mình đi uống cà phê nhé?,Shall we go for coffee this afternoon?,
lesson_l7_0,"Dạ, chào bạn. Bạn cần gì ạ?",Hello. What do you need?,
lesson_l1_1,"Chào em. Anh khỏe, cảm ơn em.","Hello. I am fine, thank you.",
lesson_l10_0,"Chào bạn, bạn tên là gì?","Hello, what is your name?",
lesson_l24_0,Xin chào! Quý khách cần tìm gì ạ?,Hello! What are you looking for?,
lesson_l28_0,Quý khách có muốn dùng thêm gì không ạ?,Would you like to order anything else?,
lesson_l13_3,Không sao.,No problem.,
lesson_l9_2,Vâng. Rồi rẽ trái à?,Yes. Then turn left?,
lesson_l8_2,"Vâng, hai cốc cà phê và ba cốc trà. Quý khách có ăn gì không ạ?","Yes, two cups of coffee and three cups of tea. Would you like anything to eat?",
lesson_l14_1,Mình tên là Kim. Còn bạn?,My name is Kim. And you?,
lesson_l21_1,Chào bạn. Tôi muốn lấy gói hàng.,Hello. I want to pick up a package.,
lesson_l28_2,Tổng cộng là ba trăm nghìn ạ.,The total is three hundred thousand.,
lesson_l24_4,"Vâng, có ạ. Xin đợi một chút.",Yes. Please wait a moment.,
lesson_l23_0,"Chào bạn, bạn cần giúp gì không?","Hello, do you need help?",
lesson_l19_3,Xong rồi. Cảm ơn.,Done. Thank you.,
lesson_l11_0,Chào bạn. Bạn đang tìm gì à?,Hello. Are you looking for something?,
lesson_l18_1,"Xin lỗi, nước suối ở đâu ạ?","Excuse me, where is the bottled water?",
lesson_l13_2,Tốt quá. Tôi không nói tiếng Việt.,Great. I don't speak Vietnamese.,
lesson_l15_1,"Xin lỗi, bây giờ là số mấy?","Excuse me, what number is it now?",
lesson_l26_1,Cho tôi một bát phở bò.,I would like a bowl of beef pho.,
lesson_l27_3,Tôi không ăn được lạc. Xin đừng cho lạc.,I cannot eat peanuts. Please do not add peanuts.,
lesson_l25_4,"Dạ, ba mươi nghìn ạ.","That will be thirty thousand, please.",
lesson_l28_3,Trả bằng thẻ được không em?,Can I pay by card?,
lesson_l18_4,"Có ạ, bánh mì ở đây.","Yes, the bread is right here.",
lesson_l6_3,Cảm ơn.,Thank you.,
lesson_l8_1,Cho tôi hai cốc cà phê và ba cốc trà.,Give me two cups of coffee and three cups of tea.,
lesson_l2_0,"Chào bạn, bạn cần gì?","Hello, what do you need?",
