ID,Vietnamese_Text,English_Text,Vietnamese_Sound
lesson_l1_v4,cảm ơn,thank you,
lesson_l1_v5,xin chào,hello (formal),
lesson_l1_v9,tạm biệt,goodbye,
lesson_l2_v0,chào bạn,hello,
lesson_l2_v5,cho mình,give me,
lesson_l3_v0,Dạ có,yes (polite),
lesson_l3_v2,nhà vệ sinh,bathroom,
lesson_l3_v3,đi thẳng,to go straight,
lesson_l3_v5,Dạ không,no (polite),
lesson_l3_v7,ở kia,over there,
lesson_l4_v0,tổng cộng,total,
lesson_l4_v5,năm mươi,fifty,
lesson_l4_v6,xin lỗi,sorry,
lesson_l4_v7,tiếng Việt,Vietnamese,
lesson_l5_v1,ga tàu,train station,
lesson_l5_v2,ở đằng kia,over there,
lesson_l5_v3,trạm xe buýt,bus stop,
lesson_l5_v4,đi qua,to pass,
lesson_l5_v5,không sao,no problem,
lesson_l5_v6,ở đâu,where,
lesson_l5_v7,ở đây,here,
lesson_l5_v9,cho tôi,let me,
lesson_l7_v0,cái này,this,
lesson_l7_v5,bao nhiêu,how much,
lesson_l8_v8,cà phê,coffee,
lesson_l8_v9,bánh ngọt,pastry,
lesson_l9_v0,đường nào,which way,
lesson_l9_v1,rẽ trái,to turn left,
lesson_l9_v6,rẽ phải,to turn right,
lesson_l10_v3,còn bạn,and you?,
lesson_l10_v8,đến từ,to come from,
lesson_l10_v9,Mỹ,America,
lesson_l11_v5,được không,can you? / is it possible?,
lesson_l11_v8,đằng kia,over there,
lesson_l12_v6,Hà Nội,Hanoi,
lesson_l12_v7,Hồ Chí Minh,Ho Chi Minh City,
lesson_l12_v11,bây giờ,now,
lesson_l12_v13,Đà Nẵng,Da Nang,
lesson_l12_v14,Sài Gòn,Saigon,
lesson_l13_v3,một chút,a little,
lesson_l13_v7,tiếng Anh,English,
lesson_l13_v9,tốt quá,great,
lesson_l14_5,"Mình hiểu rồi. Tên mình viết là K, I, M.","I understand. My name is written K, I, M.",
lesson_l14_v1,thế nào,how,
lesson_l14_v2,đánh vần,to spell,
lesson_l14_v4,dấu sắc,rising tone,
lesson_l14_v5,dấu ngã,tumbling tone,
lesson_l14_v8,chữ cái,letter (alphabet),
lesson_l14_v9,dấu huyền,falling tone,
lesson_l14_v10,dấu hỏi,asking tone,
lesson_l14_v11,dấu nặng,heavy tone,
lesson_l15_5,Tôi ba mươi hai tuổi.,I am thirty-two years old.,
lesson_l15_v5,ba mươi hai,thirty-two,
lesson_l15_v7,lăm,five (in compound numbers),
lesson_l15_v10,xin hỏi,may I ask,
lesson_l15_v12,hai mươi,twenty,
lesson_l15_v13,bốn mươi lăm,forty-five,
lesson_l15_v14,một trăm,one hundred,
lesson_l16_v0,hôm nay,today,
lesson_l16_v1,ngày mai,tomorrow,
lesson_l16_v2,thứ Ba,Tuesday,
lesson_l16_v3,thứ Năm,Thursday,
lesson_l16_v4,thứ Bảy,Saturday,
lesson_l16_v5,xem phim,to watch a movie,
lesson_l16_v7,hôm qua,yesterday,
