ID,Vietnamese_Text,English_Text,Vietnamese_Sound
lesson_l1_v0,chào,hello,
lesson_l1_v1,anh,you (to a man),
lesson_l1_v2,em,you (to a younger person),
lesson_l1_v3,khỏe,healthy / fine,
lesson_l1_v4,cảm ơn,thank you,
lesson_l1_v5,xin chào,hello (formal),
lesson_l1_v6,chị,you (to a woman),
lesson_l1_v7,tôi,I,
lesson_l1_v8,không,no / not (question particle),
lesson_l1_v9,tạm biệt,goodbye,
lesson_l2_v0,chào bạn,hello,
lesson_l2_v1,bạn,you / friend,
lesson_l2_v2,gì,what,
lesson_l2_v3,nước,water,
lesson_l2_v4,cần,to need,
lesson_l2_v5,cho mình,give me,
lesson_l2_v6,của,of / belonging to,
lesson_l2_v7,đây,here,
lesson_l2_v8,cảm ơn,thank you,
lesson_l2_v9,nha,casual particle,
lesson_l3_v0,Dạ có,yes (polite),
lesson_l3_v1,hiểu,to understand,
lesson_l3_v2,nhà vệ sinh,bathroom,
lesson_l3_v3,đi thẳng,to go straight,
lesson_l3_v4,chưa,yet,
lesson_l3_v5,Dạ không,no (polite),
lesson_l3_v6,không,not,
lesson_l3_v7,ở kia,over there,
lesson_l3_v8,cảm ơn,thank you,
lesson_l3_v9,ạ,polite particle,
lesson_l4_v0,tổng cộng,total,
lesson_l4_v1,nghìn,thousand,
lesson_l4_v2,nói,to speak,
lesson_l4_v3,tốt,well,
lesson_l4_v4,lại,again,
lesson_l4_v5,năm mươi,fifty,
lesson_l4_v6,xin lỗi,sorry,
lesson_l4_v7,tiếng Việt,Vietnamese,
lesson_l4_v8,chậm,slow,
lesson_l4_v9,xin,please,
lesson_l5_v0,xin lỗi,excuse me / sorry,
lesson_l5_v1,ga tàu,train station,
lesson_l5_v2,ở đằng kia,over there,
lesson_l5_v3,trạm xe buýt,bus stop,
lesson_l5_v4,đi qua,to pass,
lesson_l5_v5,không sao,no problem,
lesson_l5_v6,ở đâu,where,
lesson_l5_v7,ở đây,here,
lesson_l5_v8,nhà vệ sinh,bathroom,
lesson_l5_v9,cho tôi,let me,
lesson_l6_v0,xin chào,hello,
lesson_l6_v1,xin lỗi,excuse me,
lesson_l6_v2,ở đâu,where,
lesson_l6_v3,cảm ơn,thank you,
lesson_l6_v4,ạ,polite particle,
lesson_l6_v5,nhà vệ sinh,restroom,
lesson_l6_v6,ở kia,over there,
lesson_l7_v0,cái này,this,
lesson_l7_v1,tiền,money,
lesson_l7_v2,nghìn,thousand,
lesson_l7_v3,gửi,to hand over,
lesson_l7_v4,cảm ơn,thank you,
lesson_l7_v5,bao nhiêu,how much,
lesson_l7_v6,năm mươi,fifty,
lesson_l7_v7,đồng,dong (currency),
lesson_l7_v8,em,you / I (junior),
lesson_l7_v9,dạ,yes (polite),
lesson_l8_v0,một,one,
lesson_l8_v1,ba,three,
lesson_l8_v2,năm,five,
lesson_l8_v3,cái,object (classifier),
lesson_l8_v4,trà,tea,
lesson_l8_v5,hai,two,
lesson_l8_v6,bốn,four,
lesson_l8_v7,cốc,cup,
lesson_l8_v8,cà phê,coffee,
lesson_l8_v9,bánh ngọt,pastry,
lesson_l9_v0,đường nào,which way,
lesson_l9_v1,rẽ trái,to turn left,
lesson_l9_v2,nhé,please (softening particle),
lesson_l9_v3,không,no,
lesson_l9_v4,à,question particle,
lesson_l9_v5,đi thẳng,to go straight,
lesson_l9_v6,rẽ phải,to turn right,
lesson_l9_v7,rồi,then,
lesson_l9_v8,ạ,polite particle,
lesson_l10_v0,chào,hello,
lesson_l10_v1,tên,name,
lesson_l10_v2,gì,what,
lesson_l10_v3,còn bạn,and you?,
lesson_l10_v4,đâu,where,
lesson_l10_v5,bạn,you / friend,
lesson_l10_v6,là,to be,
lesson_l10_v7,mình,I / me,
lesson_l10_v8,đến từ,to come from,
lesson_l10_v9,Mỹ,America,
lesson_l11_d0,Chào bạn. Bạn đang tìm gì à?,Hello. Are you looking for something?,
lesson_l11_d1,"Vâng. Xin lỗi anh, anh giúp tôi được không?","Yes. Excuse me, can you help me?",
lesson_l11_d2,Được. Bạn cần gì?,Okay. What do you need?,
lesson_l11_d3,Trạm xe buýt ở đâu ạ?,Where is the bus stop?,
lesson_l11_d4,Ở đằng kia.,Over there.,
lesson_l11_v0,chào,hello,
lesson_l11_v1,đang,currently (present continuous),
lesson_l11_v2,gì,what,
lesson_l11_v3,xin lỗi,excuse me / sorry,
lesson_l11_v4,giúp,to help,
lesson_l11_v5,được không,can you? / is it possible?,
lesson_l11_v6,cần,to need,
lesson_l11_v7,ở đâu,where,
lesson_l11_v8,đằng kia,over there,
lesson_l11_v9,bạn,you / friend,
lesson_l11_v10,tìm,to look for,
lesson_l11_v11,vâng,yes (polite),
lesson_l11_v12,anh,you (respectful to a male stranger),
lesson_l11_v13,tôi,I / me,
lesson_l11_v14,được,okay / yes,
lesson_l11_v15,trạm xe buýt,bus stop,
lesson_l11_v16,ạ,polite ending particle,
lesson_l12_d0,Bạn từ đâu đến?,Where are you from?,
lesson_l12_d1,Mình từ Đà Nẵng đến.,I am from Da Nang.,
lesson_l12_d2,Vậy bây giờ bạn sống ở đâu?,Then where do you live now?,
lesson_l12_d3,Mình sống ở Hà Nội. Còn bạn?,I live in Hanoi. And you?,
lesson_l12_d4,Mình đang sống ở Sài Gòn.,I am living in Saigon.,
lesson_l12_v0,mình,I (peer),
lesson_l12_v1,từ,from,
lesson_l12_v2,đâu,where,
lesson_l12_v3,ở,in / at,
lesson_l12_v4,vậy,so / then,
lesson_l12_v5,còn,as for,
lesson_l12_v6,Hà Nội,Hanoi,
lesson_l12_v7,Hồ Chí Minh,Ho Chi Minh City,
lesson_l12_v8,bạn,you (peer),
lesson_l12_v9,đến,to come,
lesson_l12_v10,sống,to live,
lesson_l12_v11,bây giờ,now,
lesson_l12_v12,đang,currently,
lesson_l12_v13,Đà Nẵng,Da Nang,
lesson_l12_v14,Sài Gòn,Saigon,
lesson_l13_d0,"Xin lỗi, bạn có nói tiếng Anh không?","Excuse me, do you speak English?",
lesson_l13_d1,"Có, một chút.","Yes, a little.",
lesson_l13_d2,Tốt quá. Tôi không nói tiếng Việt.,Great. I don't speak Vietnamese.,
lesson_l13_d3,Không sao.,No problem.,
lesson_l13_v0,xin lỗi,excuse me,
lesson_l13_v1,nói,to speak,
lesson_l13_v2,có,yes,
lesson_l13_v3,một chút,a little,
lesson_l13_v4,tôi,I,
lesson_l13_v5,không sao,no problem,
lesson_l13_v6,bạn,you,
lesson_l13_v7,tiếng Anh,English,
lesson_l13_v8,không,no / not,
lesson_l13_v9,tốt quá,great,
lesson_l13_v10,tiếng Việt,Vietnamese,
lesson_l14_d0,"Chào bạn, bạn tên là gì?","Hello, what is your name?",
lesson_l14_d1,Mình tên là Kim. Còn bạn?,My name is Kim. And you?,
lesson_l14_d2,Mình tên là Hà.,My name is Ha.,
lesson_l14_d3,Tên bạn viết thế nào?,How is your name written?,
lesson_l14_d4,"H, A, và dấu huyền.","H, A, and the falling tone.",
lesson_l14_d5,"Mình hiểu rồi. Tên mình viết là K, I, M.","I understand. My name is written K, I, M.",
lesson_l14_v0,tên,name,
lesson_l14_v1,thế nào,how,
lesson_l14_v2,đánh vần,to spell,
lesson_l14_v3,dấu,tone mark,
lesson_l14_v4,dấu sắc,rising tone,
lesson_l14_v5,dấu ngã,tumbling tone,
lesson_l14_v6,viết,to write,
lesson_l14_v7,hiểu,to understand,
lesson_l14_v8,chữ cái,letter (alphabet),
lesson_l14_v9,dấu huyền,falling tone,
lesson_l14_v10,dấu hỏi,asking tone,
lesson_l14_v11,dấu nặng,heavy tone,
lesson_l15_d0,Xin chào. Bạn đang đợi số mấy?,Hello. What number are you waiting for?,
lesson_l15_d1,"Xin lỗi, bây giờ là số mấy?","Excuse me, what number is it now?",
lesson_l15_d2,Bây giờ là số bốn mươi lăm.,It is number forty-five right now.,
lesson_l15_d3,"Dạ, là tôi.","Yes, that is me.",
lesson_l15_d4,"Xin hỏi, bạn bao nhiêu tuổi?","May I ask, how old are you?",
lesson_l15_d5,Tôi ba mươi hai tuổi.,I am thirty-two years old.,
lesson_l15_v0,số,number,
lesson_l15_v1,đợi,to wait,
lesson_l15_v2,dạ,yes (polite),
lesson_l15_v3,bao nhiêu,how many / how much,
lesson_l15_v4,mười,ten,
lesson_l15_v5,ba mươi hai,thirty-two,
lesson_l15_v6,năm mươi,fifty,
lesson_l15_v7,lăm,five (in compound numbers),
lesson_l15_v8,mấy,how many / what,
lesson_l15_v9,bây giờ,now,
lesson_l15_v10,xin hỏi,may I ask,
lesson_l15_v11,tuổi,years old / age,
lesson_l15_v12,hai mươi,twenty,
lesson_l15_v13,bốn mươi lăm,forty-five,
lesson_l15_v14,một trăm,one hundred,
lesson_l16_d0,Hôm nay là thứ Sáu. Bạn muốn đi xem phim không?,Today is Friday. Do you want to go see a movie?,
lesson_l16_d1,Hôm qua mình xem phim rồi. Chúng ta đi cà phê đi.,I already watched a movie yesterday. Let's go for coffee.,
lesson_l16_d2,Được. Hôm nay chúng ta đi nhé?,Okay. Shall we go today?,
lesson_l16_d3,Hôm nay mình bận. Ngày mai là thứ Bảy. Ngày mai đi nhé.,Today I am busy. Tomorrow is Saturday. Let's go tomorrow.,
lesson_l16_v0,hôm nay,today,
lesson_l16_v1,ngày mai,tomorrow,
lesson_l16_v2,thứ Ba,Tuesday,
lesson_l16_v3,thứ Năm,Thursday,
lesson_l16_v4,thứ Bảy,Saturday,
lesson_l16_v5,xem phim,to watch a movie,
lesson_l16_v6,bận,busy,
lesson_l16_v7,hôm qua,yesterday,
lesson_l16_v8,thứ Hai,Monday,
lesson_l16_v9,thứ Tư,Wednesday,
lesson_l16_v10,thứ Sáu,Friday,
lesson_l16_v11,Chủ nhật,Sunday,
lesson_l16_v12,cà phê,coffee,
lesson_l17_d0,Chiều nay mình đi uống cà phê nhé?,Shall we go for coffee this afternoon?,
lesson_l17_d1,Được. Bây giờ là mấy giờ rồi?,Okay. What time is it now?,
lesson_l17_d2,Bây giờ là hai giờ.,It is two o'clock now.,
lesson_l17_d3,Mấy giờ mình gặp nhau?,What time are we meeting?,
lesson_l17_d4,Ba giờ rưỡi nhé.,"Three thirty, okay?",
lesson_l17_v0,mấy giờ,what time,
lesson_l17_v1,giờ,o'clock / hour,
lesson_l17_v2,chiều nay,this afternoon,
lesson_l17_v3,uống,to drink,
lesson_l17_v4,được,okay,
lesson_l17_v5,hai,two,
lesson_l17_v6,mình,we (inclusive),
lesson_l17_v7,bây giờ,now,
lesson_l17_v8,rưỡi,half past,
lesson_l17_v9,cà phê,coffee,
lesson_l17_v10,gặp nhau,to meet,
lesson_l17_v11,nhé,okay? / let's (particle),
lesson_l17_v12,ba,three,
lesson_l17_v13,rồi,already,
lesson_l18_d0,"Xin chào, bạn cần gì ạ?","Hello, what do you need?",
lesson_l18_d1,"Xin lỗi, nước suối ở đâu ạ?","Excuse me, where is the bottled water?",
lesson_l18_d2,"Dạ, nước suối ở bên kia ạ.",The bottled water is over there.,
lesson_l18_d3,Ở đây có bánh mì không ạ?,Do you have bread here?,
lesson_l18_d4,"Có ạ, bánh mì ở đây.","Yes, the bread is right here.",
lesson_l18_v0,xin chào,hello,
lesson_l18_v1,gì,what,
